time,gate,car.id,population,carType,duration
1434379860,C8,20155415065439-614,28,1,431040
1434392580,C8,20153115103103-717,29,1,426060
1434395940,C8,20155315115319-974,30,3,872760
1434400500,C8,20154713014720-385,29,1,290340
1434403020,C8,20152515012542-655,30,1,170100
1434403740,C8,20152113072113-341,29,3,328020
1434405060,C8,20153015023037-512,30,1,84900
1434406680,C8,20152913022938-375,29,1,192120
1434408240,C8,20154914124917-488,28,1,269460
1434414900,C8,20151515051521-888,29,1,314940
1434415560,C8,20150914090940-696,28,2,445080
1434423120,C8,20155412045446-0,27,1,186900
1434423240,C8,20154212104244-750,26,1,140460
1434426960,C8,20154713064720-448,25,1,110700
1434431040,C8,20154112084109-806,24,2,257340
1434461160,C8,20152614032608-515,23,3,221040
1434463020,C8,20150613070629-561,22,1,906720
1434465000,C8,20152016062004-516,23,2,122340
1434469620,C8,20151212011241-763,22,2,195420
1434473280,C8,20153813043802-884,21,1,78780
1434482640,C8,20151816121814-878,22,1,111300
1434486840,C8,20153814023849-856,21,1,383640
1434487200,C8,20153416013418-86,22,2,194340
1434487740,C8,20155216125240-140,23,1,167580
1434489960,C8,20153015023037-512,22,1,170100
1434492660,C8,20150416030444-791,23,3,495840
1434496800,C8,20155616035629-355,24,1,184740
1434498960,C8,20151411091404-225,23,3,175380
1434500100,C8,20150816050850-701,24,1,95100
1434511500,C8,20150013020033-816,23,1,278700
1434548700,C8,20152417062433-543,24,1,230040
1434551700,C8,20153917063943-246,25,1,513000
1434552300,C8,20154317064310-833,26,1,174960
1434555180,C8,20151017081005-686,27,1,127260
1434558480,C8,20155417085454-80,28,3,130920
1434562740,C8,20154517094500-459,29,2,542640
1434564600,C8,20151317101348-437,30,1,84780
1434572820,C8,20153317123351-161,31,1,68880
1434573120,C8,20152515012542-655,30,2,82140
1434575580,C8,20152017012017-5,31,1,194160
1434579300,C8,20150717030756-157,32,1,331500
1434581940,C8,20155914095952-732,31,1,67020
1434584640,C8,20153917033947-416,32,3,222060
1434587340,C8,20152016062004-516,31,2,230760
1434593940,C8,20151816121814-878,30,1,371460
1434595200,C8,20150816050850-701,29,1,879000
1434600780,C8,20151913091934-158,28,1,115740
1434601740,C8,20154512054518-584,27,2,277380
1434606960,C8,20150807050820-790,26,1,93720
1434640440,C8,20154918074910-267,27,1,164880
1434641700,C8,20153317123351-161,26,3,139980
1434644460,C8,20155618085648-561,27,1,247440
1434645240,C8,20151118091136-43,28,3,169800
1434649380,C8,20151317101348-437,27,1,164760
1434650880,C8,20150118110157-82,28,1,677160
1434655320,C8,20155216125240-140,27,1,431040
1434661980,C8,20152218012209-123,28,1,106440
1434663960,C8,20151414071412-997,27,1,426060
1434674220,C8,20152918052938-439,28,2,598680
1434681540,C8,20153416013418-86,27,3,872760
1434681540,C8,20155616035629-355,26,1,170100
1434682440,C8,20151017081005-686,25,1,84900
1434689400,C8,20155417085454-80,24,1,314940
1434723540,C8,20155019065024-371,25,2,366000
1434727260,C8,20154317064310-833,24,2,122340
1434729420,C8,20152319082350-281,25,1,124260
1434729840,C8,20151515051521-888,24,1,111300
1434732960,C8,20154919094921-666,25,2,375900
1434737760,C8,20151319101312-156,26,3,276180
1434737820,C8,20152419102424-497,27,1,1399740
1434741720,C8,20153307023326-161,26,2,194340
1434744960,C8,20151419121435-102,27,3,243720
1434750960,C8,20155919015912-624,28,1,172920
1434751440,C8,20153419023448-961,29,1,108480
1434755700,C8,20155319035359-974,30,1,226260
1434768420,C8,20152218012209-123,29,1,167580
1434769740,C8,20152017012017-5,28,3,495840
1434778740,C8,20152417062433-543,27,1,184740
1434805320,C8,20154918074910-267,26,1,95100
1434806700,C8,20153917033947-416,25,1,230040
1434810900,C8,20155415065439-614,24,1,513000
1434812880,C8,20154520074540-882,25,3,880380
1434815040,C8,20151118091136-43,24,1,174960
1434815460,C8,20151720081740-125,25,3,107160
1434817740,C8,20154220084208-864,26,2,172860
1434818640,C8,20153115103103-717,25,1,127260
1434825660,C8,20153320113340-933,26,1,126000
1434829020,C8,20150420120432-763,27,3,72660
1434830580,C8,20155520125548-491,28,1,84420
1434832560,C8,20153920123932-501,29,2,664860
1434841320,C8,20153706123730-475,28,3,130920
1434844800,C8,20153320043334-346,29,1,776160
1434847920,C8,20151820051846-474,30,2,59940
1434851160,C8,20154920054923-830,31,2,144000
1434853680,C8,20152319082350-281,30,2,542640
1434859920,C8,20153419023448-961,29,1,84780
1434891900,C8,20155618085648-561,28,1,68880
1434898260,C8,20153021073045-85,29,1,303120
1434900180,C8,20155721075705-83,30,1,285360
1434900480,C8,20153821073821-483,31,1,127860
1434901680,C8,20150420120432-763,30,1,194160
1434902580,C8,20155721085718-188,31,2,805920
1434907860,C8,20151820051846-474,30,1,331500
1434908040,C8,20153221093222-957,31,2,119580
1434910680,C8,20151121111157-61,32,3,105960
1434910800,C8,20150717030756-157,31,3,222060
1434915000,C8,20155520125548-491,30,1,164880
1434920400,C8,20150921010943-734,31,2,280200
1434922620,C8,20151720081740-125,30,1,247440
1434923880,C8,20155919015912-624,29,3,169800
1434931800,C8,20151021041005-169,30,1,101580
1434951660,C8,20153320113340-933,29,1,677160
1434981960,C8,20155319035359-974,28,1,106440
1434988500,C8,20150416030444-791,27,2,598680
1434988680,C8,20151419121435-102,26,2,366000
1434990600,C8,20154220084208-864,25,1,124260
1434991020,C8,20150822090837-736,26,2,99180
1434991500,C8,20152422092440-277,27,1,73260
1434995160,C8,20154920054923-830,26,2,375900
1435003680,C8,20151322121351-809,27,1,194760
1435008180,C8,20150222020245-78,28,1,351480
1435010040,C8,20155922015952-462,29,1,400080
1435013940,C8,20151319101312-156,28,3,276180
1435016640,C8,20151121111157-61,27,1,1399740
1435017360,C8,20150422040421-938,28,1,76380
1435027620,C8,20153221093222-957,27,3,243720
1435028340,C8,20153821073821-483,26,1,172920
1435033380,C8,20151021041005-169,25,1,108480
1435064700,C8,20153917063943-246,24,1,226260
1435064760,C8,20152422092440-277,23,3,880380
1435070220,C8,20152923072910-395,24,2,479100
1435089540,C8,20155019065024-371,23,3,107160
1435090200,C8,20150822090837-736,22,2,172860
1435093740,C8,20150422040421-938,21,1,126000
1435102140,C8,20150823040809-813,22,2,787860
1435105380,C8,20154517094500-459,21,3,72660
1435108500,C8,20150723050745-341,22,1,159840
1435108860,C8,20154919094921-666,21,1,84420
1435114860,C8,20150313080324-835,20,2,664860
1435155900,C8,20154024064023-567,21,1,989100
1435158840,C8,20155324075339-328,22,1,209820
1435163400,C8,20150024090008-901,23,1,383280
1435170480,C8,20155824105804-483,24,2,386760
1435172220,C8,20152514072525-135,23,1,776160
1435178100,C8,20150209060231-719,22,2,59940
1435183020,C8,20155324015326-739,23,2,278520
1435184340,C8,20151724021705-148,24,1,968460
1435185540,C8,20155721075705-83,23,2,144000
1435187340,C8,20154024034035-259,24,2,62040
1435191900,C8,20151924051922-114,25,2,144960
1435198440,C8,20151322121351-809,24,1,303120
1435200600,C8,20150921010943-734,23,1,285360
1435201380,C8,20153021073045-85,22,1,127860
1435249380,C8,20154024034035-259,21,2,805920
1435268280,C8,20150325020345-881,22,3,183600
1435268340,C8,20150723050745-341,21,2,119580
1435268700,C8,20155315115319-974,20,3,105960
1435272900,C8,20152918052938-439,19,2,280200
1435281300,C8,20154825054846-818,20,1,53460
1435328040,C8,20150118110157-82,19,1,101580
1435334760,C8,20154825054846-818,18,2,99180
1435336560,C8,20150326090329-717,19,2,210960
1435336860,C8,20151924051922-114,18,1,73260
1435346160,C8,20151326111319-353,19,1,202620
1435356960,C8,20150826020807-226,20,1,157020
1435358880,C8,20154026034051-679,21,2,102060
1435359660,C8,20150222020245-78,20,1,194760
1435368060,C8,20153426053424-13,21,1,697200
1435368660,C8,20155324075339-328,20,1,351480
1435383000,C8,20153310073327-373,19,1,400080
1435410120,C8,20155922015952-462,18,1,76380
1435415940,C8,20150827070855-530,19,3,304740
1435424520,C8,20151727091758-4,20,3,198540
1435426260,C8,20150027100030-310,21,1,194220
1435427820,C8,20155827095826-435,22,1,440280
1435432080,C8,20152027112040-21,23,2,204120
1435432080,C8,20154127114129-6,24,1,180300
1435434960,C8,20154827114820-401,25,1,186660
1435440360,C8,20150527020511-685,26,1,182520
1435451880,C8,20150325020345-881,25,2,479100
1435460940,C8,20154026034051-679,24,2,787860
1435461540,C8,20155324015326-739,23,1,159840
1435497420,C8,20153920123932-501,22,1,989100
1435500240,C8,20150828060845-403,23,3,429120
1435502280,C8,20154428064410-192,24,3,89880
1435509060,C8,20152528092511-140,25,3,73800
1435513980,C8,20150826020807-226,24,1,209820
1435516260,C8,20152328112340-523,25,1,67320
1435521120,C8,20153028123046-38,26,3,159720
1435527660,C8,20153428023417-311,27,3,64560
1435539720,C8,20155528055512-788,28,2,48060
1435546680,C8,20150024090008-901,27,1,383280
1435547520,C8,20150326090329-717,26,2,386760
1435548780,C8,20151326111319-353,25,2,278520
1435549320,C8,20152923072910-395,24,1,968460
1435557240,C8,20155824105804-483,23,2,62040
1435582860,C8,20152528092511-140,22,2,144960
1435583580,C8,20152328112340-523,21,3,183600
1435587780,C8,20155528055512-788,20,1,53460
1435590120,C8,20153629073622-752,21,2,284220
1435592160,C8,20154428064410-192,20,2,210960
1435592220,C8,20153428023417-311,19,1,202620
1435598820,C8,20151929101959-58,20,3,159060
1435601520,C8,20154829104840-718,21,1,548160
1435612380,C8,20154127114129-6,20,1,157020
1435613760,C8,20154229014226-973,21,1,319380
1435620120,C8,20153029033048-921,22,2,65640
1435620480,C8,20150027100030-310,21,2,102060
1435620960,C8,20153320043334-346,20,1,697200
1435621620,C8,20154827114820-401,19,3,304740
1435622880,C8,20150527020511-685,18,3,198540
1435623060,C8,20151727091758-4,17,1,194220
1435625100,C8,20151929051927-102,18,1,421560
1435627140,C8,20151429051412-750,19,1,335880
1435636200,C8,20152027112040-21,18,1,440280
1435674960,C8,20154430064432-451,19,2,227640
1435680840,C8,20153028123046-38,18,2,204120
1435684140,C8,20150830090823-240,19,1,390780
1435685760,C8,20153029033048-921,18,1,180300
1435691220,C8,20150830110807-384,19,1,201480
1435691700,C8,20155230115226-97,20,3,1295640
1435693260,C8,20154520074540-882,19,1,186660
1435694880,C8,20153730123713-648,20,1,90600
1435699800,C8,20155630015659-740,21,1,115260
1435705380,C8,20150830030855-79,22,2,1191660
1435706100,C8,20155230035222-748,23,2,157020
1435708380,C8,20154630044606-595,24,3,172440
1435708500,C8,20155721085718-188,23,1,182520
1435710720,C8,20152530052504-640,24,3,231060
1435720680,C8,20150827070855-530,23,3,429120
1435757880,C8,20151929101959-58,22,3,89880
1435765860,C8,20152401082424-321,23,1,221580
1435766880,C8,20155901075938-57,24,2,285180
1435767240,C8,20154801084800-755,25,1,83100
1435768920,C8,20154501084530-202,26,2,73500
1435778160,C8,20154201114254-498,27,2,103140
1435780920,C8,20155501125529-527,28,3,718980
1435785480,C8,20153730123713-648,27,3,73800
1435793760,C8,20151001041004-853,28,3,602100
1435798320,C8,20154501044554-839,29,2,66960
1435815060,C8,20155630015659-740,28,1,67320
1435842420,C8,20154501084530-202,27,3,159720
1435847880,C8,20153802063824-325,28,3,640920
1435849260,C8,20153902073935-578,29,2,109680
1435850340,C8,20154801084800-755,28,3,64560
1435863120,C8,20155230035222-748,27,2,48060
1435865280,C8,20154501044554-839,26,2,284220
1435868100,C8,20155827095826-435,25,3,159060
1435870260,C8,20154402124413-668,26,3,95460
1435874340,C8,20153629073622-752,25,1,548160
1435878480,C8,20151102031156-128,26,2,514560
1435880280,C8,20150702040704-305,27,1,73200
1435880820,C8,20154630044606-595,26,1,319380
1435881300,C8,20154201114254-498,25,2,65640
1435885500,C8,20153502053554-349,26,2,233220
1435888380,C8,20155402055423-909,27,1,94140
1435890000,C8,20150823040809-813,26,1,421560
1435892700,C8,20150830110807-384,25,1,335880
1435902600,C8,20154430064432-451,24,2,227640
1435929360,C8,20150828060845-403,23,1,390780
1435930680,C8,20151603061640-724,24,2,885720
1435933140,C8,20154229014226-973,23,1,201480
1435934160,C8,20155203065228-993,24,1,383400
1435937760,C8,20153003083030-321,25,3,214320
1435941780,C8,20152530052504-640,24,3,1295640
1435943220,C8,20153603093633-912,25,2,417480
1435943760,C8,20155503095520-726,26,3,285300
1435947660,C8,20152403102434-408,27,3,102720
1435953480,C8,20150702040704-305,26,1,90600
1435956960,C8,20155003015007-18,27,1,452100
1435958400,C8,20155103015112-816,28,2,145740
1435958940,C8,20153902073935-578,27,1,115260
1435961280,C8,20154603024647-48,28,2,94380
1435963020,C8,20151429051412-750,27,2,1191660
1435965720,C8,20154402124413-668,26,2,157020
1435966620,C8,20154003034016-1,27,2,250500
1435967160,C8,20150103040138-632,28,1,146940
1435969680,C8,20152303042327-304,29,1,166860
1435972860,C8,20155703055749-564,30,1,1696080
1435982520,C8,20155402055423-909,29,3,172440
1435987440,C8,20152401082424-321,28,3,231060
1436019960,C8,20155704065719-686,29,1,371400
1436020020,C8,20155504065559-69,30,1,301500
1436020740,C8,20154104064113-956,31,2,1312380
1436020860,C8,20152004072035-991,32,2,198240
1436022360,C8,20155904075953-519,33,2,366840
1436023380,C8,20153204073231-660,34,3,92400
1436023440,C8,20153704073745-278,35,2,512340
1436023740,C8,20153504073526-319,36,1,424920
1436025300,C8,20155504075511-773,37,1,116040
1436026680,C8,20151104091151-104,38,3,195480
1436035380,C8,20151804111828-884,39,1,1231920
1436035860,C8,20154404114459-43,40,1,264060
1436042040,C8,20152804012816-125,41,2,339780
1436046660,C8,20151929051927-102,40,1,221580
1436047380,C8,20153104023109-416,41,3,61380
1436050380,C8,20152403102434-408,40,2,285180
1436052000,C8,20155304035331-275,41,1,1173360
1436052060,C8,20155901075938-57,40,1,83100
1436052300,C8,20151804041847-14,41,2,232260
1436054880,C8,20152404042428-569,42,1,147480
1436055660,C8,20154603024647-48,41,2,73500
1436056440,C8,20152504042522-96,42,2,615000
1436060760,C8,20155204055234-952,43,3,1567140
1436065260,C8,20153426053424-13,42,2,103140
1436074920,C8,20150830090823-240,41,3,718980
1436104080,C8,20152605062636-836,42,1,440160
1436104140,C8,20155103015112-816,41,3,602100
1436104980,C8,20154205064237-776,42,2,472440
1436107560,C8,20153905073902-613,43,3,196860
1436108760,C8,20153104023109-416,42,2,66960
1436108940,C8,20150205080250-857,43,2,172800
1436110800,C8,20150605080621-713,44,3,195660
1436113980,C8,20150405090426-651,45,2,549000
1436114100,C8,20150103040138-632,44,3,640920
1436115240,C8,20155705085712-420,45,1,200220
1436115780,C8,20153204073231-660,44,2,109680
1436118720,C8,20153502053554-349,43,3,95460
1436122440,C8,20150005110029-714,44,3,243120
1436124960,C8,20150605120608-125,45,3,250740
1436129400,C8,20155605125654-111,46,1,200460
1436130300,C8,20155905015920-414,47,1,840240
1436131320,C8,20154805014852-697,48,2,76260
1436135400,C8,20150305030356-98,49,2,229140
1436136540,C8,20152303042327-304,48,2,514560
1436137020,C8,20153605033636-902,49,1,90600
1436137560,C8,20152419102424-497,48,1,73200
1436137740,C8,20150105040155-8,49,1,502440
1436138460,C8,20155405035411-744,50,3,311460
1436141340,C8,20155504075511-773,49,2,233220
1436142780,C8,20152605042639-261,50,2,60420
1436145000,C8,20154024064023-567,49,1,94140
1436149680,C8,20154829104840-718,48,2,885720
1436152080,C8,20153003083030-321,47,1,383400
1436152800,C8,20151724021705-148,46,3,214320
1436192520,C8,20153606063624-577,47,3,94380
1436196420,C8,20153306073311-379,48,2,378900
1436202360,C8,20152404042428-569,47,2,417480
1436203200,C8,20152605042639-261,46,3,285300
1436207580,C8,20154805014852-697,45,3,102720
1436217120,C8,20154003034016-1,44,1,452100
1436219100,C8,20152004072035-991,43,2,145740
1436222160,C8,20151104091151-104,42,2,94380
1436227620,C8,20153605033636-902,41,2,250500
1436229060,C8,20155503095520-726,40,1,146940
1436281740,C8,20150205080250-857,39,1,166860
1436284260,C8,20152207082206-772,40,2,301380
1436284560,C8,20151804041847-14,39,1,1696080
1436286900,C8,20153606063624-577,38,1,371400
1436288580,C8,20155707095706-832,39,1,550500
1436289120,C8,20150807090832-325,40,3,91140
1436297280,C8,20153407113449-132,41,1,355740
1436298000,C8,20154107114151-839,42,2,155160
1436298600,C8,20152707122720-612,43,3,81960
1436299920,C8,20154404114459-43,42,1,301500
1436300880,C8,20155307125327-646,43,1,532500
1436303760,C8,20151907011937-909,44,3,494340
1436304420,C8,20153905073902-613,43,2,1312380
1436306460,C8,20150605080621-713,42,2,198240
1436307060,C8,20150307030320-55,43,3,176640
1436311680,C8,20152207042208-551,44,1,742980
1436311980,C8,20154507034519-6,45,2,171720
1436315460,C8,20155705085712-420,44,2,366840
1436316600,C8,20152507052543-844,45,2,441960
1436317560,C8,20155203065228-993,44,3,92400
1436317860,C8,20151707051702-432,45,1,221700
1436321520,C8,20155504065559-69,44,2,512340
