V1,V2,V3,V4,V5,V6,time,V7,V8,V9,V10
,,,20152317012346-970,1,6/17/2015 14:17,1434575820,C7,166200,1434742020,6/19/2015 12:27
20151116081119-191,1,6/16/2015 9:15,1434471300,C7,104760,1434576060,6/17/2015 14:21,,,
,,,20151617051603-789,1,6/17/2015 18:15,1434590100,C7,274920,1434865020,6/20/2015 22:37
20151215021211-822,1,6/15/2015 14:35,1434404100,C7,186900,1434591000,6/17/2015 18:30,,,
20154714024730-244,1,6/14/2015 15:22,1434320520,C7,282420,1434602940,6/17/2015 21:49,,,
,,,20150418070414-573,2,6/18/2015 7:36,1434638160,C7,306060,1434944220,6/21/2015 20:37
,,,20154018084053-456,1,6/18/2015 9:35,1434645300,C7,699240,1435344540,6/26/2015 11:49
20154612114650-326,1,6/12/2015 12:09,1434136140,C7,523980,1434660120,6/18/2015 13:42,,,
,,,20154718034701-35,1,6/18/2015 16:24,1434669840,C7,362880,1435032720,6/22/2015 21:12
20150215110234-930,2,6/15/2015 12:16,1434395760,C7,275700,1434671460,6/18/2015 16:51,,,
,,,20150318040329-875,1,6/18/2015 17:11,1434672660,C7,99180,1434771840,6/19/2015 20:44
20151012091054-963,2,6/12/2015 9:31,1434126660,C7,604980,1434731640,6/19/2015 9:34,,,
20153617093653-526,2,6/17/2015 10:39,1434562740,C7,177420,1434740160,6/19/2015 11:56,,,
20152317012346-970,1,6/17/2015 14:17,1434575820,C7,166200,1434742020,6/19/2015 12:27,,,
,,,20152819022855-141,1,6/19/2015 15:35,1434753300,C7,1018620,1435771920,7/1/2015 10:32
20152414012455-891,1,6/14/2015 13:48,1434314880,C7,441060,1434755940,6/19/2015 16:19,,,
20150318040329-875,1,6/18/2015 17:11,1434672660,C7,99180,1434771840,6/19/2015 20:44,,,
20153717123759-246,1,6/17/2015 12:59,1434571140,C7,234600,1434805740,6/20/2015 6:09,,,
,,,20155020095009-169,3,6/20/2015 10:11,1434820260,C7,337140,1435157400,6/24/2015 7:50
,,,20153020053014-949,1,6/20/2015 17:43,1434847380,C7,56400,1434903780,6/21/2015 9:23
20150716030750-947,1,6/16/2015 15:45,1434494700,C7,368100,1434862800,6/20/2015 22:00,,,
20151617051603-789,1,6/17/2015 18:15,1434590100,C7,274920,1434865020,6/20/2015 22:37,,,
,,,20154221064205-207,1,6/21/2015 7:39,1434897540,C7,480300,1435377840,6/26/2015 21:04
20153020053014-949,1,6/20/2015 17:43,1434847380,C7,56400,1434903780,6/21/2015 9:23,,,
,,,20155021095034-253,3,6/21/2015 10:42,1434908520,C7,92040,1435000560,6/22/2015 12:16
,,,20150621010643-875,2,6/21/2015 14:15,1434921300,C7,104040,1435025340,6/22/2015 19:09
,,,20155021055038-706,3,6/21/2015 18:13,1434935580,C7,83520,1435019100,6/22/2015 17:25
20150418070414-573,2,6/18/2015 7:36,1434638160,C7,306060,1434944220,6/21/2015 20:37,,,
,,,20150122060128-25,2,6/22/2015 6:33,1434979980,C7,194100,1435174080,6/24/2015 12:28
20155021095034-253,3,6/21/2015 10:42,1434908520,C7,92040,1435000560,6/22/2015 12:16,,,
,,,20153122113135-902,1,6/22/2015 12:35,1435001700,C7,162240,1435163940,6/24/2015 9:39
,,,20151422021453-376,2,6/22/2015 15:08,1435010880,C7,163560,1435174440,6/24/2015 12:34
,,,20150522030548-312,1,6/22/2015 15:21,1435011660,C7,180780,1435192440,6/24/2015 17:34
20155021055038-706,3,6/21/2015 18:13,1434935580,C7,83520,1435019100,6/22/2015 17:25,,,
20150621010643-875,2,6/21/2015 14:15,1434921300,C7,104040,1435025340,6/22/2015 19:09,,,
20154718034701-35,1,6/18/2015 16:24,1434669840,C7,362880,1435032720,6/22/2015 21:12,,,
20150417100406-907,3,6/17/2015 10:17,1434561420,C7,472500,1435033920,6/22/2015 21:32,,,
,,,20150323040301-184,1,6/23/2015 16:43,1435102980,C7,176640,1435279620,6/25/2015 17:47
,,,20154723054713-268,1,6/23/2015 18:26,1435109160,C7,531720,1435640880,6/29/2015 22:08
,,,20150924070945-953,1,6/24/2015 7:24,1435155840,C7,396000,1435551840,6/28/2015 21:24
20155020095009-169,3,6/20/2015 10:11,1434820260,C7,337140,1435157400,6/24/2015 7:50,,,
20153122113135-902,1,6/22/2015 12:35,1435001700,C7,162240,1435163940,6/24/2015 9:39,,,
,,,20151924091906-140,3,6/24/2015 10:08,1435165680,C7,179820,1435345500,6/26/2015 12:05
,,,20153624093618-492,1,6/24/2015 10:12,1435165920,C7,73200,1435239120,6/25/2015 6:32
,,,20153924103929-927,3,6/24/2015 10:52,1435168320,C7,118200,1435286520,6/25/2015 19:42
20150122060128-25,2,6/22/2015 6:33,1434979980,C7,194100,1435174080,6/24/2015 12:28,,,
20151422021453-376,2,6/22/2015 15:08,1435010880,C7,163560,1435174440,6/24/2015 12:34,,,
,,,20153324033312-407,3,6/24/2015 15:58,1435186680,C7,444180,1435630860,6/29/2015 19:21
20150522030548-312,1,6/22/2015 15:21,1435011660,C7,180780,1435192440,6/24/2015 17:34,,,
20153624093618-492,1,6/24/2015 10:12,1435165920,C7,73200,1435239120,6/25/2015 6:32,,,
,,,20154825064848-825,2,6/25/2015 7:23,1435242180,C7,187860,1435430040,6/27/2015 11:34
,,,20154725104717-951,2,6/25/2015 11:01,1435255260,C7,341100,1435596360,6/29/2015 9:46
20155415015459-549,1,6/15/2015 14:30,1434403800,C7,857100,1435260900,6/25/2015 12:35,,,
,,,20150425010456-10,1,6/25/2015 13:19,1435263540,C7,65460,1435329000,6/26/2015 7:30
20153208083240-926,3,6/8/2015 8:53,1433778780,C7,1485720,1435264500,6/25/2015 13:35,,,
20150323040301-184,1,6/23/2015 16:43,1435102980,C7,176640,1435279620,6/25/2015 17:47,,,
,,,20154925044945-414,1,6/25/2015 17:49,1435279740,C7,167040,1435446780,6/27/2015 16:13
20153924103929-927,3,6/24/2015 10:52,1435168320,C7,118200,1435286520,6/25/2015 19:42,,,
20150425010456-10,1,6/25/2015 13:19,1435263540,C7,65460,1435329000,6/26/2015 7:30,,,
,,,20153826063809-399,1,6/26/2015 7:46,1435329960,C7,258240,1435588200,6/29/2015 7:30
,,,20152326082325-308,1,6/26/2015 9:02,1435334520,C7,109200,1435443720,6/27/2015 15:22
,,,20153326103309-465,2,6/26/2015 10:52,1435341120,C7,270180,1435611300,6/29/2015 13:55
20154018084053-456,1,6/18/2015 9:35,1434645300,C7,699240,1435344540,6/26/2015 11:49,,,
20151924091906-140,3,6/24/2015 10:08,1435165680,C7,179820,1435345500,6/26/2015 12:05,,,
20154221064205-207,1,6/21/2015 7:39,1434897540,C7,480300,1435377840,6/26/2015 21:04,,,
20152215022221-833,1,6/15/2015 14:43,1434404580,C7,973680,1435378260,6/26/2015 21:11,,,
,,,20151527081514-392,1,6/27/2015 8:54,1435420440,C7,198060,1435618500,6/29/2015 15:55
20154825064848-825,2,6/25/2015 7:23,1435242180,C7,187860,1435430040,6/27/2015 11:34,,,
20152326082325-308,1,6/26/2015 9:02,1435334520,C7,109200,1435443720,6/27/2015 15:22,,,
20154925044945-414,1,6/25/2015 17:49,1435279740,C7,167040,1435446780,6/27/2015 16:13,,,
,,,20150127030110-863,1,6/27/2015 16:13,1435446780,C7,77340,1435524120,6/28/2015 13:42
20150127030110-863,1,6/27/2015 16:13,1435446780,C7,77340,1435524120,6/28/2015 13:42,,,
20150924070945-953,1,6/24/2015 7:24,1435155840,C7,396000,1435551840,6/28/2015 21:24,,,
,,,20153029063054-508,1,6/29/2015 6:54,1435586040,C7,316860,1435902900,7/2/2015 22:55
20153826063809-399,1,6/26/2015 7:46,1435329960,C7,258240,1435588200,6/29/2015 7:30,,,
,,,20151029081008-399,1,6/29/2015 9:01,1435593660,C7,301740,1435895400,7/2/2015 20:50
20154725104717-951,2,6/25/2015 11:01,1435255260,C7,341100,1435596360,6/29/2015 9:46,,,
,,,20155829095814-906,3,6/29/2015 10:18,1435598280,C7,164160,1435762440,7/1/2015 7:54
20153326103309-465,2,6/26/2015 10:52,1435341120,C7,270180,1435611300,6/29/2015 13:55,,,
20151527081514-392,1,6/27/2015 8:54,1435420440,C7,198060,1435618500,6/29/2015 15:55,,,
,,,20155229035239-568,3,6/29/2015 16:12,1435619520,C7,50100,1435669620,6/30/2015 6:07
20153324033312-407,3,6/24/2015 15:58,1435186680,C7,444180,1435630860,6/29/2015 19:21,,,
20154723054713-268,1,6/23/2015 18:26,1435109160,C7,531720,1435640880,6/29/2015 22:08,,,
20155229035239-568,3,6/29/2015 16:12,1435619520,C7,50100,1435669620,6/30/2015 6:07,,,
,,,20155430085434-503,1,6/30/2015 10:01,1435683660,C7,418680,1436102340,7/5/2015 6:19
,,,20154430014454-721,1,6/30/2015 14:07,1435698420,C7,62160,1435760580,7/1/2015 7:23
,,,20154430034436-879,2,6/30/2015 16:15,1435706100,C7,175860,1435881960,7/2/2015 17:06
20154430014454-721,1,6/30/2015 14:07,1435698420,C7,62160,1435760580,7/1/2015 7:23,,,
,,,20152001072036-614,1,7/1/2015 7:40,1435761600,C7,780480,1436542080,7/10/2015 8:28
,,,20153001073008-682,3,7/1/2015 7:51,1435762260,C7,535320,1436297580,7/7/2015 12:33
20155829095814-906,3,6/29/2015 10:18,1435598280,C7,164160,1435762440,7/1/2015 7:54,,,
,,,20152401092405-316,3,7/1/2015 10:14,1435770840,C7,253860,1436024700,7/4/2015 8:45
,,,20154201094221-490,3,7/1/2015 10:18,1435771080,C7,720780,1436491860,7/9/2015 18:31
20152819022855-141,1,6/19/2015 15:35,1434753300,C7,1018620,1435771920,7/1/2015 10:32,,,
,,,20152201102241-597,3,7/1/2015 10:43,1435772580,C7,194520,1435967100,7/3/2015 16:45
,,,20152701112759-138,1,7/1/2015 12:07,1435777620,C7,688500,1436466120,7/9/2015 11:22
,,,20154101014157-341,1,7/1/2015 14:13,1435785180,C7,359160,1436144340,7/5/2015 17:59
,,,20155401025432-410,1,7/1/2015 15:08,1435788480,C7,754920,1436543400,7/10/2015 8:50
,,,20152301032339-982,2,7/1/2015 15:39,1435790340,C7,176760,1435967100,7/3/2015 16:45
,,,20154201024259-199,2,7/1/2015 15:42,1435790520,C7,485220,1436275740,7/7/2015 6:29
,,,20151601031635-401,3,7/1/2015 16:10,1435792200,C7,183180,1435975380,7/3/2015 19:03
,,,20152201042246-439,2,7/1/2015 16:44,1435794240,C7,764100,1436558340,7/10/2015 12:59
,,,20151501041514-837,1,7/1/2015 16:51,1435794660,C7,336180,1436130840,7/5/2015 14:14
,,,20151801041821-719,2,7/1/2015 17:16,1435796160,C7,313920,1436110080,7/5/2015 8:28
,,,20155702065700-462,1,7/2/2015 8:09,1435849740,C7,86820,1435936560,7/3/2015 8:16
,,,20150202120211-959,3,7/2/2015 12:19,1435864740,C7,371340,1436236080,7/6/2015 19:28
,,,20152302012357-409,1,7/2/2015 13:37,1435869420,C7,192240,1436061660,7/4/2015 19:01
20154430034436-879,2,6/30/2015 16:15,1435706100,C7,175860,1435881960,7/2/2015 17:06,,,
,,,20155802055814-251,2,7/2/2015 18:37,1435887420,C7,76020,1435963440,7/3/2015 15:44
20151029081008-399,1,6/29/2015 9:01,1435593660,C7,301740,1435895400,7/2/2015 20:50,,,
20153029063054-508,1,6/29/2015 6:54,1435586040,C7,316860,1435902900,7/2/2015 22:55,,,
,,,20150203060230-10,1,7/3/2015 7:02,1435932120,C7,136320,1436068440,7/4/2015 20:54
20155702065700-462,1,7/2/2015 8:09,1435849740,C7,86820,1435936560,7/3/2015 8:16,,,
,,,20150303080344-262,1,7/3/2015 8:36,1435937760,C7,220920,1436158680,7/5/2015 21:58
,,,20154803104834-431,2,7/3/2015 11:56,1435949760,C7,74880,1436024640,7/4/2015 8:44
,,,20153803013812-529,1,7/3/2015 13:54,1435956840,C7,630360,1436587200,7/10/2015 21:00
20155802055814-251,2,7/2/2015 18:37,1435887420,C7,76020,1435963440,7/3/2015 15:44,,,
